Group,Gene,Context,MethylationChange,Evidence
"Smoking, cardiovascular & pulmonary risk",AHRR,Aryl hydrocarbon receptor repressor; detox & smoke response,"Hypomethylation** in smokers → ↑ risk for CVD, lung cancer, all-cause mortality","Philibert et al., *Circulation: Cardiovascular Genetics*, 2016; Zeilinger et al., *Am J Hum Genet*, 2013"
"Smoking, cardiovascular & pulmonary risk",F2RL3,Coagulation / platelet activation ,Hypomethylation** with smoking; predicts **mortality & lung-cancer risk,"Zhang et al., *Clin Epigenetics*, 2016  "
"Smoking, cardiovascular & pulmonary risk",GFI1,Transcriptional repressor; hematopoietic development; robust smoking exposure marker,Hypomethylation in smokers; persists after cessation,"Tsaprouni et al., Epigenetics, 2014; Joehanes et al., Circulation, 2016"
"Smoking, cardiovascular & pulmonary risk",GPR15,T-cell trafficking; smoking marker  ,Hypomethylation** in smokers; elevated expression in blood  ,"Bauer et al., *Epigenomics*, 2015 "
"Smoking, cardiovascular & pulmonary risk",MYO1G,Membrane-related myosin; smoking biomarker,Hypermethylation** in smokers (reverse to AHRR)  ," Joehanes et al., *Circ Cardiovasc Genet*, 2016 "
"Smoking, cardiovascular & pulmonary risk",ALPPL2,Placental alkaline phosphatase-like; top tobacco-associated CpG in blood,Hypomethylation with smoking exposure,"Su et al., PLoS ONE, 2016; Joehanes et al., Circulation, 2016"
"Smoking, cardiovascular & pulmonary risk",IER3,Stress-response gene; smoking signature in immune cells,Hypomethylation in smokers,"Tsaprouni et al., Epigenetics, 2014"
"Smoking, cardiovascular & pulmonary risk",CYP1A1,Xenobiotic metabolism; PAH deto,Hypo/Hyper-methylation** with smoking & air-pollution exposure   ,"Reynolds et al., *Environ Health Perspect*, 2017 "
"Smoking, cardiovascular & pulmonary risk",CYP1B1,Xenobiotic metabolism; PAH deto,Hypo/Hyper-methylation** with smoking & air-pollution exposure   ,"Reynolds et al., *Environ Health Perspect*, 2017 "
Cardiometabolic & diabetes risk,ABCG1,Cholesterol efflux transporter,"Hypermethylation** → ↑ T2D, insulin resistance    ","Dayeh et al., *Diabetes*, 2016    "
Cardiometabolic & diabetes risk,TXNIP,Glucose-redox regulation,Hypomethylation** → predicts **hyperglycemia & T2D onset,"hambers et al., *Diabetes*, 2015  "
Cardiometabolic & diabetes risk,PHOSPHO1,Phosphate metabolism ,Lower methylation → protective (inverse of ABCG1)  ,"Dayeh et al., *Diabetes*, 2016"
Cardiometabolic & diabetes risk,TCF7L2,Wnt signaling TF; β‑cell function,Differential methylation (site-specific) associated with T2D,"Fernandez-Rebollo et al., PLoS ONE, 2014"
Cardiometabolic & diabetes risk,KCNQ1,Imprinted potassium channel; insulin secretion,Differential methylation associated with T2D risk (parent-of-origin effects),"Chambers et al., Nat Genet, 2015"
Cardiometabolic & diabetes risk,SLC30A8,Zinc transporter in β‑cells,Promoter hypermethylation associated with T2D,"Seman et al., Clin Epigenetics, 2015"
Cardiometabolic & diabetes risk,FTO,Energy metabolism/obesity gene,Promoter hypermethylation associated with T2D/obesity,"van Otterdijk et al., Clin Epigenetics, 2017"
Cardiometabolic & diabetes risk,SREBF1,Lipid / insulin signaling ,"Differential methylation → insulin resistance, BMI ","Chambers et al., *Nat Genet*, 2015 "
Cardiometabolic & diabetes risk,SOCS3,Lipid / insulin signaling ,"Differential methylation → insulin resistance, BMI ","Chambers et al., *Nat Genet*, 2015 "
Cardiometabolic & diabetes risk,CPT1A,Fatty acid β-oxidation enzyme,"Hypomethylation** linked to ↑ triglycerides, CVD  ","Irvin et al., *Nat Commun*, 2014 "
Cardiometabolic & diabetes risk,HIF3A,Hypoxia-induced TF  ,Hypermethylation** correlates with ↑ BMI / obesity      ,"Dick et al., *Lancet*, 2014   "
Cardiometabolic & diabetes risk,LEPR,Leptin signaling,"Altered methylation → obesity, insulin resistance  ","Milagro et al., *FASEB J*, 2011"
Cardiometabolic & diabetes risk,LEP,Leptin signaling,"Altered methylation → obesity, insulin resistance  ","Milagro et al., *FASEB J*, 2011"
"Stress, aging & neuropsychiatric traits",NR3C1,Glucocorticoid receptor (stress response)  ,Hypermethylation** after chronic stress / trauma → altered HPA axis  ,"Palma-Gudiel et al., *Neurosci Biobehav Rev*, 2015"
"Stress, aging & neuropsychiatric traits",FKBP5,Glucocorticoid pathway co-chaperone,Trauma-induced demethylation (genotype-dependent) linked to PTSD,"Klengel et al., Nat Neurosci, 2013"
